FavouritesCount,FriendsCount,StatusesCount,isVerified,isTranslator,location,Lang,isRetweetedByMe
1,39,9,false,false,Saint-Germain-des-Bois- France,en,false
82,1971,15335,true,false,Paris ,fr,false
1378,932,11546,false,false,Virginia- USA,en,false
11448,341,4267,false,false,null,en,false
290,225,158901,false,false,Growing a beard,en,false
16719,579,5456,false,false,Toronto- Ontario,en,false
82,1971,15336,true,false,Paris ,fr,false
7408,74,3619,false,false,United States,en,false
2107,290,394,false,false,Choomah Island ,en-GB,false
73101,1807,23252,false,false,Eastern Western  MA,en,false
33247,3899,30015,false,false,Radnor- Ohio 43066,en,false
11102,2784,54203,false,false,null,en,false
94,177,1102,false,false,Norway,en,false
305,163,3014,false,false,null,en,false
1,7,1,false,false,null,en,false
3166,99,32910,false,false,North London/Enfield,en,false
283,75,298,false,false,Leeds- England,en,false
238,116,247118,false,false,Abidjan ,fr,false
4277,551,2971,false,false,Lagos- Nigeria,en,false
2085,50,2779,false,false,Nairobi,en,false
848,147,2311,false,false,Naples- FL,en,false
2983,77,4241,false,false,null,en,false
4351,406,130,false,false,null,en,false
2844,934,9202,false,false,null,en,false
63,50,153,false,false,chelmsford,en,false
2436,293,14795,false,false,Cape Town- South Africa,en,false
7408,74,3619,false,false,United States,en,false
6086,4544,8135,false,false,Pennsylvania- USA,en,false
5773,497,11930,false,false,London- England,en,false
1395,106,1091,false,false,Canada,en,false
942,191,5239,false,false,Providence-  r.i,en,false
5573,785,5447,false,false,Catalina -CA,en,false
83,593,28133,true,false,Meudon- France,fr,false
26262,4841,125481,false,false,Memphis- TN,en,false
7408,74,3619,false,false,United States,en,false
1442,465,1710,false,false,Cooraclare Co. Clare,en,false
2962,993,3744,false,false,Toronto- Ontario,en,false
19831,630,16248,false,false,Smoke me a Kipper...,en,false
1090,6606,8268,false,false,En las canchas,es,false
844,139,312,false,false,New York- USA,en,false
13260,643,12298,false,false,Norway,en,false
5116,954,13343,false,false,Straight outta Souffffhamton,en,false
114270,846,70192,false,false,null,en,false
27626,983,36087,false,false,Boston- MA,en,false
212,197,470,false,false,null,en,false
0,2,4539,false,false,null,en,false
208,253,44460,false,false,null,fr,false
11530,3371,18387,false,false,??BUY MY BOOK,en,false
61662,333,13709,false,false,Everywhere and Nowhere,en,false
942,191,5240,false,false,Providence-  r.i,en,false
1885,2113,5642,false,false,Houston(Clear Lake),en,false
30512,457,105582,false,false,Ontario- Canada,en,false
0,157,35583,false,false,London,en,false
3,30,141484,false,false,London,en,false
5,110,1061,false,false,Nigeria,en,false
33565,4770,28618,false,false,Democracy- USA,en,false
0,74,15152,false,false,null,en,false
8261,371,9275,false,false,Greater Houston Area,en,false
1542,451,14112,false,false,null,en,false
11103,2784,54204,false,false,null,en,false
39720,182,35331,false,false,null,en,false
1802,1674,4474,false,false,United States,en,false
18176,1874,14344,false,false,Northern Ireland,en,false
724,37,1408,false,false,null,en,false
0,0,148676,false,false,null,en,false
202,7897,214337,false,false,Pian-sur-Garonne- SW France,en,false
2528,198,3206,false,false,null,en,false
795,184,2498,false,false,null,en-GB,false
2161,112,3423,false,false,null,en,false
16,165,83,false,false,null,en,false
18282,1092,42732,false,false,VA,en,false
2448,500,395,false,false,Old Bethpage- NY,en,false
4918,4625,5096,false,false,null,en,false
435,942,2980,false,false,null,en,false
25747,647,2405,false,false,Bellingham- WA,en,false
